CardRank,TrickNumber,PlayNumber,Wins,Plays,WinProbability
11,2,4,214,881,0.2429
11,3,1,298,811,0.3674
11,3,2,179,864,0.2072
11,3,3,199,898,0.2216
11,3,4,189,871,0.217
11,4,1,292,829,0.3522
11,4,2,140,873,0.1604
11,4,3,140,878,0.1595
11,4,4,140,903,0.155
11,5,1,282,795,0.3547
11,5,2,78,958,0.0814
11,5,3,89,887,0.1003
11,5,4,73,863,0.0846
13,1,1,131,417,0.3141
13,1,2,84,375,0.224
13,1,3,77,396,0.1944
13,1,4,82,384,0.2135
13,2,1,130,444,0.2928
13,2,2,77,408,0.1887
13,2,3,86,412,0.2087
13,2,4,84,384,0.2188
13,3,1,126,424,0.2972
13,3,2,70,446,0.157
13,3,3,73,437,0.167
13,3,4,60,422,0.1422
13,4,1,137,443,0.3093
13,4,2,60,434,0.1382
13,4,3,49,435,0.1126
13,4,4,50,438,0.1142
13,5,1,169,458,0.369
13,5,2,43,476,0.0903
13,5,3,26,498,0.0522
13,5,4,33,479,0.0689
14,1,1,132,856,0.1542
14,1,2,95,912,0.1042
14,1,3,104,861,0.1208
14,1,4,94,870,0.108
14,2,1,120,863,0.139
14,2,2,83,810,0.1025
14,2,3,83,863,0.0962
14,2,4,94,849,0.1107
14,3,1,138,818,0.1687
14,3,2,88,909,0.0968
14,3,3,89,861,0.1034
14,3,4,73,813,0.0898
14,4,1,163,847,0.1924
14,4,2,77,886,0.0869
14,4,3,58,869,0.0667
14,4,4,74,888,0.0833
14,5,1,213,791,0.2693
14,5,2,39,910,0.0429
14,5,3,57,895,0.0637
14,5,4,36,879,0.041
16,1,1,38,435,0.0874
16,1,2,26,404,0.0644
16,1,3,21,387,0.0543
16,1,4,23,322,0.0714
16,2,1,45,431,0.1044
16,2,2,17,392,0.0434
16,2,3,33,396,0.0833
16,2,4,22,401,0.0549
16,3,1,70,428,0.1636
16,3,2,25,454,0.0551
16,3,3,16,416,0.0385
16,3,4,20,444,0.045
16,4,1,85,441,0.1927
16,4,2,13,430,0.0302
16,4,3,20,453,0.0442
16,4,4,24,475,0.0505
16,5,1,116,421,0.2755
16,5,2,16,459,0.0349
16,5,3,18,459,0.0392
16,5,4,17,466,0.0365
17,1,1,51,894,0.057
17,1,2,20,816,0.0245
17,1,3,28,855,0.0327
17,1,4,24,824,0.0291
17,2,1,48,825,0.0582
17,2,2,25,843,0.0297
17,2,3,16,828,0.0193
17,2,4,26,847,0.0307
17,3,1,84,854,0.0984
17,3,2,27,876,0.0308
17,3,3,21,850,0.0247
17,3,4,31,859,0.0361
17,4,1,116,825,0.1406
17,4,2,34,887,0.0383
17,4,3,31,863,0.0359
17,4,4,27,815,0.0331
17,5,1,159,750,0.212
17,5,2,25,897,0.0279
17,5,3,21,896,0.0234
17,5,4,25,939,0.0266
19,1,1,7,859,0.0081
19,1,2,0,868,0
19,1,3,0,874,0
19,1,4,2,903,0.0022
19,2,1,10,838,0.0119
19,2,2,4,910,0.0044
19,2,3,1,844,0.0012
19,2,4,2,808,0.0025
19,3,1,36,823,0.0437
19,3,2,12,872,0.0138
19,3,3,4,833,0.0048
19,3,4,5,859,0.0058
19,4,1,58,805,0.072
19,4,2,5,836,0.006
19,4,3,14,919,0.0152
19,4,4,5,887,0.0056
19,5,1,118,767,0.1538
19,5,2,11,926,0.0119
19,5,3,6,913,0.0066
19,5,4,10,893,0.0112
21,1,1,16,427,0.0375
21,1,2,5,367,0.0136
21,1,3,2,389,0.0051
21,1,4,3,393,0.0076
21,2,1,15,431,0.0348
21,2,2,4,429,0.0093
21,2,3,3,403,0.0074
21,2,4,2,412,0.0049
21,3,1,32,425,0.0753
21,3,2,9,436,0.0206
21,3,3,4,394,0.0102
21,3,4,6,459,0.0131
21,4,1,40,435,0.092
21,4,2,7,426,0.0164
21,4,3,7,470,0.0149
21,4,4,7,464,0.0151
21,5,1,88,439,0.2005
21,5,2,7,485,0.0144
21,5,3,5,447,0.0112
21,5,4,8,484,0.0165
22,1,1,0,833,0
22,1,2,0,902,0
22,1,3,0,885,0
22,1,4,0,844,0
22,2,1,6,870,0.0069
22,2,2,0,880,0
22,2,3,0,847,0
22,2,4,0,837,0
22,3,1,20,832,0.024
22,3,2,0,851,0
22,3,3,0,899,0
22,3,4,0,840,0
22,4,1,56,831,0.0674
22,4,2,0,924,0
22,4,3,0,845,0
22,4,4,0,852,0
22,5,1,91,742,0.1226
22,5,2,0,929,0
22,5,3,0,892,0
22,5,4,0,923,0
24,1,1,0,412,0
24,1,2,0,379,0
24,1,3,0,397,0
24,1,4,0,377,0
24,2,1,6,424,0.0142
24,2,2,0,433,0
24,2,3,0,412,0
24,2,4,0,409,0
24,3,1,13,442,0.0294
24,3,2,0,413,0
24,3,3,0,433,0
24,3,4,0,458,0
24,4,1,28,419,0.0668
24,4,2,0,431,0
24,4,3,0,463,0
24,4,4,0,442,0
24,5,1,51,380,0.1342
24,5,2,0,493,0
24,5,3,0,526,0
24,5,4,0,478,0
