CardRank,TrickNumber,PlayNumber,Wins,Plays,WinProbability
4,5,3,290,536,0.541
4,5,4,260,492,0.5285
5,1,1,0,0,0
5,1,2,307,651,0.4716
5,1,3,105,473,0.222
5,1,4,223,508,0.439
5,2,1,4,4,1
5,2,2,321,669,0.4798
5,2,3,147,448,0.3281
5,2,4,279,540,0.5167
5,3,1,37,39,0.9487
5,3,2,314,658,0.4772
5,3,3,167,458,0.3646
5,3,4,268,493,0.5436
5,4,1,65,138,0.471
5,4,2,227,590,0.3847
5,4,3,189,507,0.3728
5,4,4,244,505,0.4832
5,5,1,337,574,0.5871
5,5,2,154,415,0.3711
5,5,3,181,421,0.4299
5,5,4,179,442,0.405
6,1,1,0,0,0
6,1,2,400,900,0.4444
6,1,3,104,498,0.2088
6,1,4,339,755,0.449
6,2,1,0,0,0
6,2,2,327,713,0.4586
6,2,3,116,460,0.2522
6,2,4,272,579,0.4698
6,3,1,26,26,1
6,3,2,293,720,0.4069
6,3,3,143,453,0.3157
6,3,4,283,522,0.5421
6,4,1,33,64,0.5156
6,4,2,211,656,0.3216
6,4,3,139,492,0.2825
6,4,4,200,444,0.4505
6,5,1,173,349,0.4957
6,5,2,109,377,0.2891
6,5,3,106,299,0.3545
6,5,4,91,299,0.3043
7,1,1,0,0,0
7,1,2,462,1051,0.4396
7,1,3,104,583,0.1784
7,1,4,382,878,0.4351
7,2,1,0,0,0
7,2,2,389,876,0.4441
7,2,3,132,484,0.2727
7,2,4,322,651,0.4946
7,3,1,15,15,1
7,3,2,293,758,0.3865
7,3,3,162,512,0.3164
7,3,4,220,488,0.4508
7,4,1,15,15,1
7,4,2,166,623,0.2665
7,4,3,79,336,0.2351
7,4,4,129,389,0.3316
7,5,1,86,237,0.3629
7,5,2,54,283,0.1908
7,5,3,62,212,0.2925
7,5,4,61,199,0.3065
8,1,1,1745,3230,0.5402
8,1,2,522,766,0.6815
8,1,3,221,399,0.5539
8,1,4,416,504,0.8254
8,2,1,1212,2183,0.5552
8,2,2,502,732,0.6858
8,2,3,274,545,0.5028
8,2,4,430,546,0.7875
8,3,1,854,1636,0.522
8,3,2,370,569,0.6503
8,3,3,244,507,0.4813
8,3,4,360,479,0.7516
8,4,1,483,1002,0.482
8,4,2,221,402,0.5498
8,4,3,203,429,0.4732
8,4,4,246,374,0.6578
8,5,1,254,555,0.4577
8,5,2,140,841,0.1665
8,5,3,162,730,0.2219
8,5,4,168,823,0.2041
10,1,1,505,1158,0.4361
10,1,2,145,243,0.5967
10,1,3,51,133,0.3835
10,1,4,106,161,0.6584
10,2,1,494,1173,0.4211
10,2,2,166,287,0.5784
10,2,3,80,231,0.3463
10,2,4,144,226,0.6372
10,3,1,391,992,0.3942
10,3,2,142,250,0.568
10,3,3,84,244,0.3443
10,3,4,136,232,0.5862
10,4,1,321,686,0.4679
10,4,2,131,272,0.4816
10,4,3,82,254,0.3228
10,4,4,132,263,0.5019
10,5,1,194,359,0.5404
10,5,2,92,521,0.1766
10,5,3,86,436,0.1972
10,5,4,98,532,0.1842
11,1,1,233,1674,0.1392
11,1,2,49,532,0.0921
11,1,3,23,497,0.0463
11,1,4,61,477,0.1279
11,2,1,240,1756,0.1367
11,2,2,84,513,0.1637
11,2,3,45,570,0.0789
11,2,4,91,503,0.1809
11,3,1,238,1568,0.1518
11,3,2,96,545,0.1761
11,3,3,75,654,0.1147
11,3,4,90,510,0.1765
11,4,1,257,1291,0.1991
11,4,2,83,741,0.112
11,4,3,79,808,0.0978
11,4,4,80,688,0.1163
11,5,1,263,852,0.3087
11,5,2,55,1030,0.0534
11,5,3,65,970,0.067
11,5,4,67,1050,0.0638
13,1,1,49,583,0.084
13,1,2,11,216,0.0509
13,1,3,3,204,0.0147
13,1,4,10,211,0.0474
13,2,1,69,754,0.0915
13,2,2,12,204,0.0588
13,2,3,8,331,0.0242
13,2,4,10,227,0.0441
13,3,1,65,723,0.0899
13,3,2,24,300,0.08
13,3,3,15,363,0.0413
13,3,4,20,303,0.066
13,4,1,90,671,0.1341
13,4,2,23,418,0.055
13,4,3,26,456,0.057
13,4,4,24,432,0.0556
13,5,1,110,465,0.2366
13,5,2,22,589,0.0374
13,5,3,27,557,0.0485
13,5,4,26,611,0.0426
14,1,1,17,743,0.0229
14,1,2,7,587,0.0119
14,1,3,1,727,0.0014
14,1,4,3,676,0.0044
14,2,1,34,1005,0.0338
14,2,2,7,596,0.0117
14,2,3,4,757,0.0053
14,2,4,9,649,0.0139
14,3,1,58,1183,0.049
14,3,2,17,650,0.0262
14,3,3,6,861,0.007
14,3,4,16,734,0.0218
14,4,1,130,1137,0.1143
14,4,2,31,867,0.0358
14,4,3,19,959,0.0198
14,4,4,25,917,0.0273
14,5,1,186,892,0.2085
14,5,2,24,1067,0.0225
14,5,3,32,1119,0.0286
14,5,4,25,1090,0.0229
16,1,1,1,258,0.0039
16,1,2,0,238,0
16,1,3,0,308,0
16,1,4,0,263,0
16,2,1,3,378,0.0079
16,2,2,1,303,0.0033
16,2,3,0,451,0
16,2,4,0,353,0
16,3,1,17,482,0.0353
16,3,2,3,387,0.0078
16,3,3,0,523,0
16,3,4,4,417,0.0096
16,4,1,36,481,0.0748
16,4,2,5,494,0.0101
16,4,3,4,551,0.0073
16,4,4,6,519,0.0116
16,5,1,83,421,0.1971
16,5,2,10,588,0.017
16,5,3,7,536,0.0131
16,5,4,8,609,0.0131
17,1,1,1,271,0.0037
17,1,2,0,700,0
17,1,3,0,1029,0
17,1,4,1,882,0.0011
17,2,1,2,507,0.0039
17,2,2,0,752,0
17,2,3,0,1036,0
17,2,4,0,900,0
17,3,1,12,627,0.0191
17,3,2,6,879,0.0068
17,3,3,4,1073,0.0037
17,3,4,6,955,0.0063
17,4,1,55,841,0.0654
17,4,2,6,941,0.0064
17,4,3,1,1038,0.001
17,4,4,11,1046,0.0105
17,5,1,108,743,0.1454
17,5,2,6,1027,0.0058
17,5,3,9,1037,0.0087
17,5,4,11,943,0.0117
19,1,1,0,131,0
19,1,2,0,943,0
19,1,3,0,1304,0
19,1,4,0,1192,0
19,2,1,0,270,0
19,2,2,0,965,0
19,2,3,0,1191,0
19,2,4,0,1146,0
19,3,1,5,418,0.012
19,3,2,0,977,0
19,3,3,0,1154,0
19,3,4,0,1127,0
19,4,1,22,576,0.0382
19,4,2,1,840,0.0012
19,4,3,1,1013,0.001
19,4,4,1,992,0.001
19,5,1,86,633,0.1359
19,5,2,0,761,0
19,5,3,1,793,0.0013
19,5,4,3,730,0.0041
21,1,1,0,33,0
21,1,2,0,362,0
21,1,3,0,557,0
21,1,4,0,455,0
21,2,1,1,82,0.0122
21,2,2,0,449,0
21,2,3,0,608,0
21,2,4,0,564,0
21,3,1,3,162,0.0185
21,3,2,1,497,0.002
21,3,3,0,630,0
21,3,4,0,632,0
21,4,1,13,286,0.0455
21,4,2,2,543,0.0037
21,4,3,0,519,0
21,4,4,1,570,0.0018
21,5,1,65,422,0.154
21,5,2,0,427,0
21,5,3,1,427,0.0023
21,5,4,3,417,0.0072
22,1,1,0,31,0
22,1,2,0,1291,0
22,1,3,0,1785,0
22,1,4,0,1578,0
22,2,1,0,68,0
22,2,2,0,1183,0
22,2,3,0,1385,0
22,2,4,0,1529,0
22,3,1,0,180,0
22,3,2,0,971,0
22,3,3,0,1022,0
22,3,4,0,1311,0
22,4,1,12,328,0.0366
22,4,2,0,741,0
22,4,3,0,805,0
22,4,4,0,842,0
22,5,1,69,550,0.1255
22,5,2,0,513,0
22,5,3,0,520,0
22,5,4,0,495,0
24,1,1,0,3,0
24,1,2,0,501,0
24,1,3,0,855,0
24,1,4,0,666,0
24,2,1,0,17,0
24,2,2,0,634,0
24,2,3,0,732,0
24,2,4,0,689,0
24,3,1,0,72,0
24,3,2,0,524,0
24,3,3,0,584,0
24,3,4,0,677,0
24,4,1,5,140,0.0357
24,4,2,0,392,0
24,4,3,0,445,0
24,4,4,0,477,0
24,5,1,42,321,0.1308
24,5,2,0,312,0
24,5,3,0,272,0
24,5,4,0,247,0
