Game Number,Deal Number,Player Number,Team Number,Play Style,Tricks Won,Games Won,Trump in Hand,Bowers in Hand,Suits in Hand,Aces in Hand,Trick 1 Play 1s,Average Rank,Craig Score,Ryan Score,Probability Score,Average Rank Pred,Ryan Pred,Probability Pred,Gradient Pred,Regression Pred,Card 1 Rank,Card 2 Rank,Card 3 Rank,Card 4 Rank,Card 5 Rank
5,7,1,1,STANDARD,0,0,2,0,3,0,0,15.8,0,0.271,0.167,0.949,1.355,0.835,1.315,1.0,5,7,21,22,24
5,7,2,2,STANDARD,3,1,2,0,3,2,0,7.6,0.75,0.533,0.41,1.974,2.665,2.05,1.877,2.0,3,6,8,10,11
5,7,3,1,STANDARD,0,0,1,1,3,0,0,14.8,1,0.253,0.165,1.014,1.265,0.825,0.519,1.0,2,14,17,19,22
5,7,4,2,STANDARD,2,1,2,1,2,0,1,11.0,2,0.526,0.308,1.364,2.63,1.54,1.736,2.0,1,4,14,17,19
5,8,1,1,STANDARD,1,0,2,1,3,1,1,10.4,1.75,0.442,0.331,1.442,2.21,1.655,2.23,2.0,2,5,10,14,21
5,8,2,2,STANDARD,0,1,1,0,4,0,0,15.6,0,0.141,0.094,0.962,0.705,0.47,0.098,0.0,6,14,17,17,24
5,8,3,1,STANDARD,1,0,1,0,3,1,0,12.2,0.75,0.335,0.23,1.23,1.675,1.15,0.591,1.0,4,8,11,19,19
5,8,4,2,STANDARD,3,1,3,1,3,0,0,11.0,2.25,0.549,0.395,1.364,2.745,1.975,2.849,2.0,1,3,7,22,22
6,1,1,1,STANDARD,2,0,1,0,3,1,0,12.0,0.75,0.277,0.187,1.25,1.385,0.935,0.591,0.0,7,10,13,14,16
6,1,2,2,STANDARD,1,1,1,1,4,0,1,16.8,1,0.179,0.159,0.893,0.895,0.795,0.519,1.0,2,17,19,22,24
6,1,3,1,STANDARD,0,0,1,0,3,1,0,14.2,0.75,0.273,0.196,1.056,1.365,0.98,0.591,1.0,5,8,17,19,22
6,1,4,2,STANDARD,2,1,3,1,3,1,0,8.0,3.0,0.641,0.482,1.875,3.205,2.41,3.343,3.0,1,4,6,8,21
6,2,1,1,STANDARD,2,0,1,0,3,1,0,12.4,0.75,0.291,0.197,1.21,1.455,0.985,0.591,1.0,6,8,14,17,17
6,2,2,2,STANDARD,1,1,2,1,4,0,0,13.0,1,0.325,0.283,1.154,1.625,1.415,1.736,1.0,1,7,16,19,22
6,2,3,1,STANDARD,0,0,2,1,4,0,1,12.6,1,0.344,0.259,1.19,1.72,1.295,1.736,1.0,2,4,14,19,24
6,2,4,2,STANDARD,2,1,2,0,4,0,0,8.6,0,0.416,0.271,1.744,2.08,1.355,1.315,1.0,3,5,11,11,13
6,3,1,1,STANDARD,0,0,1,0,3,1,0,13.2,0.75,0.285,0.195,1.136,1.425,0.975,0.591,1.0,5,10,13,14,24
6,3,2,2,STANDARD,1,1,3,0,3,0,0,10.2,1.25,0.456,0.29,1.471,2.28,1.45,2.427,2.0,3,6,7,16,19
6,3,3,1,STANDARD,1,0,1,0,3,0,0,11.4,0,0.315,0.157,1.316,1.575,0.785,0.098,0.0,4,11,11,14,17
6,3,4,2,STANDARD,3,1,2,2,3,1,1,10.4,1.75,0.553,0.507,1.442,2.765,2.535,2.23,3.0,1,2,8,19,22
6,4,1,1,STANDARD,1,0,2,1,3,1,1,8.4,1.75,0.529,0.381,1.786,2.645,1.905,2.23,2.0,2,4,8,11,17
6,4,2,2,STANDARD,0,1,1,0,4,2,0,13.2,0.75,0.261,0.266,1.136,1.305,1.33,1.153,1.0,7,8,10,19,22
6,4,3,1,STANDARD,0,0,1,0,4,0,0,14.8,0,0.156,0.102,1.014,0.78,0.51,0.098,0.0,5,14,16,17,22
6,4,4,2,STANDARD,4,1,3,1,3,0,0,9.6,2.25,0.585,0.406,1.562,2.925,2.03,2.849,3.0,1,3,6,14,24
6,5,1,1,STANDARD,1,0,0,0,2,1,0,15.6,1.75,0.141,0.117,0.962,0.705,0.585,0.591,0.0,8,14,17,17,22
6,5,2,2,STANDARD,1,1,1,0,4,0,1,13.8,0,0.195,0.125,1.087,0.975,0.625,0.098,0.0,4,13,14,16,22
